test_indices,y_test,y_pred,risk_scores
4,1.0,1.0,0.9999798228646493
13,0.0,0.0,0.999716422003082
21,0.0,0.0,0.9997162738858556
29,0.0,0.0,0.9997161261213665
37,0.0,0.0,0.9997159787523636
45,0.0,0.0,0.9997158316755436
53,0.0,0.0,0.9997156849840683
61,0.0,0.0,0.9997155385835983
69,0.0,0.0,0.9997153925917768
77,0.0,0.0,0.9997152468472623
85,0.0,0.0,0.9997151015508
5,1.0,1.0,0.9994945802305167
0,1.0,1.0,0.9994697751446003
7,1.0,1.0,0.9981094399383827
14,0.0,0.0,0.9874740485132337
22,0.0,0.0,0.9874736461592748
30,0.0,0.0,0.9874732368049617
38,0.0,0.0,0.9874728206729988
46,0.0,0.0,0.9874723980083194
54,0.0,0.0,0.9874719681190528
62,0.0,0.0,0.9874715308900467
70,0.0,0.0,0.9874710903691274
78,0.0,0.0,0.9874706460740488
86,0.0,0.0,0.9874701891039326
83,0.0,0.0,0.9866811715794239
75,0.0,0.0,0.9866804748209387
67,0.0,0.0,0.9866797710794978
59,0.0,0.0,0.9866790637456258
51,0.0,0.0,0.9866783561056839
43,0.0,0.0,0.9866776442152879
35,0.0,0.0,0.9866769301282036
27,0.0,0.0,0.9866762096587752
19,0.0,0.0,0.9866754943279468
11,0.0,0.0,0.986674765239758
81,0.0,0.0,0.9866661485357976
73,0.0,0.0,0.986657532484992
65,0.0,0.0,0.98664889576372
57,0.0,0.0,0.9866402348672585
49,0.0,0.0,0.9866315451171523
41,0.0,0.0,0.9866228340106625
33,0.0,0.0,0.9866140926634127
25,0.0,0.0,0.9866053333199989
17,0.0,0.0,0.9865965493360762
9,0.0,0.0,0.9865877376712101
84,0.0,0.0,0.9578033037512819
76,0.0,0.0,0.9577724959784839
68,0.0,0.0,0.9577415575180878
60,0.0,0.0,0.9577105431962099
52,0.0,0.0,0.9576793888024736
44,0.0,0.0,0.9576481567958472
36,0.0,0.0,0.9576168357933603
28,0.0,0.0,0.9575854102922101
20,0.0,0.0,0.957553863092732
12,0.0,0.0,0.9575221964230368
1,0.0,1.0,0.704581802033895
2,0.0,0.0,0.04785318286131529
3,0.0,0.0,0.00467618627576729
6,1.0,0.0,6.810310678263854e-05
87,1.0,1.0,1.2523098163372667e-05
79,1.0,1.0,1.2519405716586437e-05
71,1.0,1.0,1.2515708134042194e-05
63,1.0,1.0,1.2512005222030798e-05
55,1.0,1.0,1.2508289392357879e-05
47,1.0,1.0,1.2504565149458375e-05
39,1.0,1.0,1.2500834690575703e-05
31,1.0,1.0,1.2497101281459425e-05
23,1.0,1.0,1.2493352636832584e-05
15,1.0,1.0,1.248959714535957e-05
80,1.0,1.0,7.883207747668742e-06
72,1.0,1.0,7.871035731144265e-06
64,1.0,1.0,7.858821482948582e-06
56,1.0,1.0,7.846565723012299e-06
48,1.0,1.0,7.834274206087139e-06
40,1.0,1.0,7.821947864847301e-06
32,1.0,1.0,7.809573580009671e-06
24,1.0,1.0,7.797160410368853e-06
16,1.0,1.0,7.784712778917322e-06
8,1.0,1.0,7.772218236879514e-06
10,1.0,1.0,6.348762993357667e-06
18,1.0,1.0,6.336372952173419e-06
26,1.0,1.0,6.324061838557098e-06
34,1.0,1.0,6.311820715596874e-06
42,1.0,1.0,6.299656773795667e-06
50,1.0,1.0,6.287563744565869e-06
58,1.0,1.0,6.275545430325678e-06
66,1.0,1.0,6.26359766979231e-06
74,1.0,1.0,6.251719100574373e-06
82,1.0,1.0,6.23991387963276e-06
