test_indices,y_test,y_pred,risk_scores
3976,1.0,1.0,1.0
5139,1.0,1.0,1.0
2513,1.0,1.0,1.0
1951,1.0,1.0,1.0
947,1.0,1.0,1.0
1408,1.0,1.0,1.0
5148,1.0,1.0,1.0
5634,1.0,1.0,1.0
4877,1.0,1.0,1.0
2888,1.0,1.0,1.0
2887,1.0,1.0,1.0
3546,1.0,1.0,1.0
3714,1.0,1.0,1.0
1415,1.0,1.0,1.0
199,1.0,1.0,1.0
1924,1.0,1.0,1.0
5782,1.0,1.0,1.0
1419,1.0,1.0,1.0
1917,1.0,1.0,1.0
853,1.0,1.0,1.0
211,1.0,1.0,1.0
4896,1.0,1.0,1.0
1422,1.0,1.0,1.0
3998,1.0,1.0,1.0
3917,1.0,1.0,1.0
3996,1.0,1.0,1.0
5768,1.0,1.0,1.0
1384,1.0,1.0,1.0
765,1.0,1.0,1.0
2902,1.0,1.0,1.0
4581,1.0,1.0,1.0
5374,1.0,1.0,1.0
2056,1.0,1.0,1.0
2043,1.0,1.0,1.0
4323,1.0,1.0,1.0
2957,1.0,1.0,1.0
4822,1.0,1.0,1.0
5606,1.0,1.0,1.0
140,1.0,1.0,1.0
516,1.0,1.0,1.0
4018,1.0,1.0,1.0
510,1.0,1.0,1.0
3329,1.0,1.0,1.0
173,1.0,1.0,1.0
2494,1.0,1.0,1.0
700,1.0,1.0,1.0
4847,1.0,1.0,1.0
1343,1.0,1.0,1.0
2927,1.0,1.0,1.0
5807,1.0,1.0,1.0
5393,1.0,1.0,1.0
837,1.0,1.0,1.0
168,1.0,1.0,1.0
1372,1.0,1.0,1.0
4567,1.0,1.0,1.0
5767,1.0,1.0,1.0
226,1.0,1.0,1.0
4807,1.0,1.0,1.0
3700,1.0,1.0,1.0
3607,1.0,1.0,1.0
1754,1.0,1.0,1.0
2661,1.0,1.0,1.0
1592,1.0,1.0,1.0
2754,1.0,1.0,1.0
1619,1.0,1.0,1.0
4978,1.0,1.0,1.0
3217,1.0,1.0,1.0
2685,1.0,1.0,1.0
4433,1.0,1.0,1.0
3621,1.0,1.0,1.0
3219,1.0,1.0,1.0
314,1.0,1.0,1.0
2740,1.0,1.0,1.0
3947,1.0,1.0,1.0
320,1.0,1.0,1.0
3363,1.0,1.0,1.0
3228,1.0,1.0,1.0
2726,1.0,1.0,1.0
327,1.0,1.0,1.0
4177,1.0,1.0,1.0
4179,1.0,1.0,1.0
3645,1.0,1.0,1.0
342,1.0,1.0,1.0
4100,1.0,1.0,1.0
1759,1.0,1.0,1.0
4958,1.0,1.0,1.0
4956,1.0,1.0,1.0
413,1.0,1.0,1.0
5137,1.0,1.0,1.0
4907,1.0,1.0,1.0
4521,1.0,1.0,1.0
2586,1.0,1.0,1.0
2850,1.0,1.0,1.0
2601,1.0,1.0,1.0
3561,1.0,1.0,1.0
3686,1.0,1.0,1.0
4188,1.0,1.0,1.0
260,1.0,1.0,1.0
1492,1.0,1.0,1.0
411,1.0,1.0,1.0
5433,1.0,1.0,1.0
4506,1.0,1.0,1.0
4936,1.0,1.0,1.0
1509,1.0,1.0,1.0
5085,1.0,1.0,1.0
1799,1.0,1.0,1.0
5060,1.0,1.0,1.0
4414,1.0,1.0,1.0
5730,1.0,1.0,1.0
1565,1.0,1.0,1.0
3936,1.0,1.0,1.0
2647,1.0,1.0,1.0
4808,1.0,1.0,1.0
5620,1.0,1.0,1.0
906,1.0,1.0,1.0
3140,1.0,1.0,1.0
4289,1.0,1.0,1.0
576,1.0,1.0,1.0
75,1.0,1.0,1.0
4770,1.0,1.0,1.0
784,1.0,1.0,1.0
1216,1.0,1.0,1.0
3016,1.0,1.0,1.0
783,1.0,1.0,1.0
4660,1.0,1.0,1.0
5249,1.0,1.0,1.0
5527,1.0,1.0,1.0
