test_indices,y_test,y_pred,risk_scores
31,1.0,1.0,0.9999999328756618
72,1.0,1.0,0.9999988542037529
104,1.0,1.0,0.999998850216745
136,1.0,1.0,0.9999988465113578
168,1.0,1.0,0.9999988431783082
200,1.0,1.0,0.999998840498914
232,1.0,1.0,0.9999988380435486
264,1.0,1.0,0.9999988354605279
296,1.0,1.0,0.9999988329638301
328,1.0,1.0,0.9999988303355419
40,1.0,1.0,0.999998814721865
245,1.0,1.0,0.99999743031832
213,1.0,1.0,0.9999974290441569
181,1.0,1.0,0.999997426775444
277,1.0,1.0,0.9999974246248832
117,1.0,1.0,0.9999974243293533
149,1.0,1.0,0.999997424128739
309,1.0,1.0,0.9999974151113543
341,1.0,1.0,0.9999974049106356
78,1.0,1.0,0.9999973484879768
110,1.0,1.0,0.9999973471944777
142,1.0,1.0,0.9999973463476821
174,1.0,1.0,0.9999973455704799
206,1.0,1.0,0.999997345386975
238,1.0,1.0,0.9999973445552434
334,1.0,1.0,0.9999973441491158
270,1.0,1.0,0.9999973441047912
302,1.0,1.0,0.9999973437177764
85,1.0,1.0,0.9999970530952874
46,1.0,1.0,0.9999964993355379
53,1.0,1.0,0.9999939538915583
322,1.0,1.0,0.999993760086966
290,1.0,1.0,0.9999937482763157
258,1.0,1.0,0.9999937364003352
226,1.0,1.0,0.9999937244556412
194,1.0,1.0,0.9999937124357274
162,1.0,1.0,0.999993700342655
130,1.0,1.0,0.9999936881780941
98,1.0,1.0,0.9999936759380641
66,1.0,1.0,0.9999936636265794
34,1.0,1.0,0.9999936512378016
32,1.0,1.0,0.9999922277875154
64,1.0,1.0,0.9999922152913203
96,1.0,1.0,0.9999922028424376
128,1.0,1.0,0.9999921904315521
160,1.0,1.0,0.9999921780536936
192,1.0,1.0,0.9999921657241425
224,1.0,1.0,0.99999215343518
256,1.0,1.0,0.9999921411836059
288,1.0,1.0,0.9999921289694583
320,1.0,1.0,0.9999921167903904
39,1.0,1.0,0.9999875104034589
71,1.0,1.0,0.9999875066498499
103,1.0,1.0,0.999987502898027
135,1.0,1.0,0.9999874991641619
167,1.0,1.0,0.9999874954318432
199,1.0,1.0,0.9999874917119554
231,1.0,1.0,0.9999874879949898
263,1.0,1.0,0.9999874842935592
295,1.0,1.0,0.999987480594551
327,1.0,1.0,0.999987476902896
20,1.0,1.0,0.9999861627100064
4,1.0,1.0,0.9999798228644505
14,1.0,1.0,0.9999341760507682
63,1.0,1.0,0.9999147020609702
95,1.0,1.0,0.9999088654748413
127,1.0,1.0,0.9999050643680961
159,1.0,1.0,0.999902244617736
191,1.0,1.0,0.9998998496181938
223,1.0,1.0,0.9998978232176661
255,1.0,1.0,0.9998960705503683
287,1.0,1.0,0.9998946595678645
319,1.0,1.0,0.999893382466838
351,1.0,1.0,0.9998924204390228
347,1.0,1.0,0.99988855863524
315,1.0,1.0,0.9998876768413919
283,1.0,1.0,0.9998866372896632
251,1.0,1.0,0.9998855354437407
219,1.0,1.0,0.9998841124159618
187,1.0,1.0,0.999882521487735
155,1.0,1.0,0.9998805664615303
123,1.0,1.0,0.99987824765495
91,1.0,1.0,0.9998748367709392
16,1.0,1.0,0.9998710964461315
59,1.0,1.0,0.9998696385977963
336,1.0,1.0,0.9998648669617863
304,1.0,1.0,0.9998644389332629
272,1.0,1.0,0.9998639610820113
240,1.0,1.0,0.9998632679519326
208,1.0,1.0,0.9998623631684843
176,1.0,1.0,0.9998612147614659
144,1.0,1.0,0.9998594795670915
112,1.0,1.0,0.9998565981989282
48,1.0,1.0,0.9998407636967575
62,1.0,1.0,0.9998376804874529
350,1.0,1.0,0.9998365943318039
318,1.0,1.0,0.9998361595959725
286,1.0,1.0,0.9998358112100538
94,1.0,1.0,0.9998355988189334
254,1.0,1.0,0.9998353104819543
222,1.0,1.0,0.9998348616816706
126,1.0,1.0,0.9998347779878373
190,1.0,1.0,0.9998347137292908
158,1.0,1.0,0.999834570889908
80,1.0,1.0,0.99982821732215
15,0.0,1.0,0.9997639230638096
51,1.0,1.0,0.9996206738819617
5,1.0,1.0,0.999494580071553
345,0.0,1.0,0.9994703576470216
0,1.0,1.0,0.9994697751463362
313,0.0,1.0,0.9994662770992723
281,0.0,1.0,0.9994609407689636
249,0.0,1.0,0.9994547109435938
217,0.0,1.0,0.9994473210959367
185,0.0,1.0,0.9994372676004096
153,0.0,1.0,0.999425771727093
121,0.0,1.0,0.9994101049072388
89,0.0,1.0,0.9993894210655913
57,0.0,1.0,0.9993556766524353
339,1.0,1.0,0.9993130320275578
307,1.0,1.0,0.9993056259233483
275,1.0,1.0,0.9992974606581546
243,1.0,1.0,0.9992870509146821
211,1.0,1.0,0.9992745831132848
179,1.0,1.0,0.9992589171458296
147,1.0,1.0,0.9992376977431658
115,1.0,1.0,0.9992042855714834
9,1.0,1.0,0.999148183130912
83,1.0,1.0,0.9990094753397692
11,1.0,1.0,0.9990086183388828
19,0.0,1.0,0.9989494638813672
23,0.0,1.0,0.99877472923234
12,1.0,1.0,0.9982705210845125
7,1.0,1.0,0.998109440686298
26,1.0,1.0,0.997447938737502
338,1.0,1.0,0.9972615852128585
306,1.0,1.0,0.997195773449161
274,1.0,1.0,0.9971237118256349
242,1.0,1.0,0.9970438859942794
210,1.0,1.0,0.9969517473038156
178,1.0,1.0,0.9968386038071952
146,1.0,1.0,0.9967095979145427
114,1.0,1.0,0.9965331608945989
82,1.0,1.0,0.9952996057754055
18,0.0,1.0,0.9893905902311313
24,1.0,1.0,0.9875582044097372
50,1.0,1.0,0.9863743673394993
316,0.0,1.0,0.985561737603981
348,0.0,1.0,0.9855556858924619
284,0.0,1.0,0.9855394776380886
252,0.0,1.0,0.9855195381731076
220,0.0,1.0,0.9854706580891469
188,0.0,1.0,0.9853772398354701
156,0.0,1.0,0.98523670266075
124,0.0,1.0,0.9850479580820845
92,0.0,1.0,0.9847357380357641
60,0.0,1.0,0.984106130180276
54,1.0,1.0,0.9810028707301832
47,0.0,1.0,0.9792445527162189
79,0.0,1.0,0.9662164575830184
111,0.0,1.0,0.9659153042852675
143,0.0,1.0,0.9656147703180632
175,0.0,1.0,0.9653382870457531
207,0.0,1.0,0.9650770417427534
239,0.0,1.0,0.9648241040577622
271,0.0,1.0,0.9645816164010843
303,0.0,1.0,0.9643523507665119
335,0.0,1.0,0.9641300366526195
28,1.0,1.0,0.9551874772800091
30,1.0,1.0,0.9263196190864227
44,1.0,1.0,0.9192555276354308
86,1.0,1.0,0.9120552334134139
118,1.0,1.0,0.9017931989384779
150,1.0,1.0,0.9013107344661196
182,1.0,1.0,0.9005418801727083
214,1.0,1.0,0.8998381684071716
246,1.0,1.0,0.8990825558105559
278,1.0,1.0,0.8984101519614724
310,1.0,1.0,0.8977814621824075
342,1.0,1.0,0.8971706011032033
172,1.0,1.0,0.8549963411328171
140,1.0,1.0,0.8549032296246495
204,1.0,1.0,0.854863961068861
236,1.0,1.0,0.8547904977202738
108,1.0,1.0,0.854774036370972
268,1.0,1.0,0.8547391645781176
300,1.0,1.0,0.854692636823591
76,1.0,1.0,0.8546446236130837
332,1.0,1.0,0.854615662769684
1,0.0,1.0,0.7045818117926289
333,0.0,0.0,0.08746773850696415
301,0.0,0.0,0.08694413267510182
269,0.0,0.0,0.08640088429892348
237,0.0,0.0,0.08582928668263669
205,0.0,0.0,0.08523364471154096
173,0.0,0.0,0.0845967073792933
141,0.0,0.0,0.08391017839863506
109,0.0,0.0,0.08314573422807382
77,0.0,0.0,0.08231614102706541
329,0.0,0.0,0.06957813987280037
297,0.0,0.0,0.06895412535567491
265,0.0,0.0,0.06831466840951661
233,0.0,0.0,0.06765186659186749
201,0.0,0.0,0.06695678324239648
169,0.0,0.0,0.06625069975059118
137,0.0,0.0,0.06551320116277105
105,0.0,0.0,0.06472924581908746
73,0.0,0.0,0.0638697342805872
8,1.0,0.0,0.0601221371887987
2,0.0,0.0,0.04785319639960831
45,0.0,0.0,0.04346867911450949
36,0.0,0.0,0.04247780193401956
68,0.0,0.0,0.04244613561954016
100,0.0,0.0,0.0424145862609375
132,0.0,0.0,0.04238315734126668
164,0.0,0.0,0.042351829255510565
196,0.0,0.0,0.042320584520789045
228,0.0,0.0,0.042289461275222866
260,0.0,0.0,0.042258427916450875
292,0.0,0.0,0.042227488724515955
324,0.0,0.0,0.04219669328628661
41,0.0,0.0,0.034246379570714254
29,0.0,0.0,0.028154570995120098
25,0.0,0.0,0.021299982088167597
81,0.0,0.0,0.018790620208017375
33,0.0,0.0,0.01341226436808897
65,0.0,0.0,0.013403454041512622
97,0.0,0.0,0.013394666307077922
